,,Name,"Profile ID",Date,Likes,Comment,"Comment ID","(view source)"
87,,baricalou,38775902131,"2022-06-05 09:16:42",0,"i want some❤️",17857123427730932,https://www.instagram.com/p/CJy22UmBfVH/c/17857123427730932
88,,goli.dadgar2,50554698343,"2022-06-17 18:45:50",0,"love you",17913708113452695,https://www.instagram.com/p/CJy22UmBfVH/c/17913708113452695
89,,hamzamansuri07,42873314691,"2022-06-20 12:53:52",0,"i live youu😍❤️😍❤️😍❤️😍😍❤️😍❤️😍❤️😍❤️😍❤️😍😍❤️😍❤️😍😍❤️❤️😍❤️😍😍❤️😍❤️😍❤️😍❤️😍😍❤️🖤🖤🖤🖤🖤🖤🖤🖤💞🖤🖤💞🖤💞🖤💞🖤💞🖤🖤❤🖤❤🖤🖤❤🖤❤🖤❤🖤🖤❤🖤❤🖤❤🖤🤣🖤❤🖤🖤❤🖤🥰🖤❤🖤🖤❤🖤❤🖤🖤💖🖤💖🖤🖤💖🖤💖🖤🖤💖🖤🖤💖🖤💖🖤🖤💖💖💖💖💖💖💖🖤🖤💖🖤💖🖤💖🖤💖❤❤🖤❤🖤❤🖤❤🖤❤🖤🖤🥰🖤🥰🖤🥰🖤🖤🥰🖤🥰🖤🥰🖤🥰🖤🥰🖤🥰🖤🖤💞🖤💞🖤💞🖤🖤🖤💞🖤💞😍🖤😍🖤😍🖤😍🖤😍🖤😍😍🥵😍🥵😍🥵😍😍🖤😍🖤😍🖤😍🖤😂🖤😘😘🖤😘🥵😘🖤😘🖤😘😘🖤😘🖤😘🖤😘🖤😘🖤😘🖤😘😘🖤😘🖤😘🖤😘🖤😘🖤😘🖤😘🖤😘🖤😘🖤😘🖤😘🖤😘🖤😘🖤😘🖤😘🖤😘🖤😘🖤😘😘😘🖤😘",17955359767886963,https://www.instagram.com/p/CJy22UmBfVH/c/17955359767886963
90,,xhtxyy3,44735650298,"2022-06-21 08:49:48",0,🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕,17915667698421017,https://www.instagram.com/p/CJy22UmBfVH/c/17915667698421017
91,,onexsteve,53545297042,"2022-06-27 20:25:46",0,???????,17951763160938184,https://www.instagram.com/p/CJy22UmBfVH/c/17951763160938184
92,,01_gatoo,48659143425,"2022-07-01 01:58:24",0,"you're just jealousy, jealousy 🤣😂😂",18025104097380621,https://www.instagram.com/p/CJy22UmBfVH/c/18025104097380621
93,,xhtxyy3,44735650298,"2022-07-01 05:54:41",0,🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕,17936872373218554,https://www.instagram.com/p/CJy22UmBfVH/c/17936872373218554
94,,sehr.klein,52749678509,"2022-07-02 01:13:01",0,"Omg!, I love your pants 🖤",17956895167875100,https://www.instagram.com/p/CJy22UmBfVH/c/17956895167875100
95,,mellysafiira,8055690162,"2022-07-04 23:06:31",0,"So pretty🌹",17926605791277172,https://www.instagram.com/p/CJy22UmBfVH/c/17926605791277172
96,,logetray,51278167480,"2022-07-17 03:22:27",0,Wow,18235661110138048,https://www.instagram.com/p/CJy22UmBfVH/c/18235661110138048
97,,logetray,51278167480,"2022-07-17 03:23:17",0,QUEENY😭💞,17875481603715440,https://www.instagram.com/p/CJy22UmBfVH/c/17875481603715440
98,,logetray,51278167480,"2022-07-17 03:26:20",0,?,17921108135525788,https://www.instagram.com/p/CJy22UmBfVH/c/17921108135525788
99,,livxmay0,53479143644,"2022-07-24 14:40:21",0,"OLIVIA YOU ARE BEAUTIFUL",18306421351045144,https://www.instagram.com/p/CJy22UmBfVH/c/18306421351045144
100,,gol.rozzi,54348642920,"2022-08-07 09:48:07",0,"Everything you do like a Angel",18188593408200268,https://www.instagram.com/p/CJy22UmBfVH/c/18188593408200268
